"SubNum","DateTested","Age","Sex","East_or_West","Exclude_too_long_in_West","Expand_Contract_Task","dPrime_Expand","dPrime_Contract","Expand_Minus_Contract_dPrime","Expand_Contract_Mean_dPrime","C_Expand","C_Contract","Expand_Minus_Contract_C","Expand_Contract_Mean_C","ExpandContractExclude","Global_Local_Task","Global_Minus_Local_proportion_accuracy","Local_Minus_Global_speed_allTrials","Local_Minus_Global_speed_CorrectOnly","GlobalLocalExclude"," ","Absolute_Relative_Task","Absolute_Minus_Relative_LengthError","Absolute_Minus_Relative_ProportionError"," ","Individualism_Collectivism","Horizontal_Individualism","Vertical_Individualism","Horizontal_Collectivism","Vertical_Collectivism","IndColExclude","Big_5_Personality_Measures","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness","Big5Exclude"," ","Other_Coded_Information","subNumExpandContract","subNumGlobalLocal","subNumAbsolute","subNumAbsolute","subNumSurveys","Expand_n_change","Expand_n_NoChange","Expand_Hits","Expand_Miss","Expand_CR","Expand_FA","Contract_n_change","Contract_n_NoChange","Contract_Hits","Contract_Miss","Contract_CR","Contract_FA","Local_n","Local_n_Correct","Global_n","Global_n_Correct","TargetAbsent_n","TargetAbsent_n_Correct","Global_Local_all_n","Global_Local_all_n_Correct","Absolute_Length_error","Relative_Length_error","Absolute_Proportion_error","Relative_Proportion_error","Global_RT_Correct","Local_RT_Correct","AbsoluteRelativeExclude"
"127","2014_Oct_24_0943","","","e","0","","1.9745","1.8522","0.1223","1.9134","0.3351","0.3695","-0.0344","0.3523","0","","-0.0332","0.2252","0.2263","0","","","43.358","0.0124","","","24","13","23","23","0","","41.25","49.63","52.54","42.19","61.43","0","","","127","127","127","127","127","35","43","26","9","39","4","45","41","32","13","37","4","92","91","68","65","128","126","288","282","58.8333","15.4753","0.0314","0.019","1.25093742150498","1.47722186361011","0"
"128","2014_Oct_24_0944","","","w","0","","2.1898","1.3867","0.803","1.7883","0.0426","-0.1274","0.1701","-0.0424","0","","-0.07","-0.4219","-0.5185","0","","","59.9367","1e-04","","","31","30","26","30","0","","38.12","55.19","55.71","45.31","40","0","","","128","128","128","128","128","41","47","35","6","41","6","34","42","27","7","30","12","77","69","69","57","142","141","288","267","70.1667","10.2299","0.0147","0.0146","1.79861747172912","1.28016347816032","0"
"129","2014_Oct_24_0944","","","w","0","","-1.6805","-1.2618","-0.4186","-1.4712","-0.0592","-0.5344","0.4752","-0.2968","1","","0.0286","0.2409","0.2459","0","","","14.6914","0.0618","","","28","26","23","20","0","","53.75","44.07","50.95","57.81","54.29","0","","","129","129","129","129","129","46","38","10","36","7","31","39","41","18","21","5","36","70","68","90","90","128","127","288","285","29","14.3086","0.0805","0.0187","1.35222558445388","1.59815879429029","0"
"13","2014_Sep_30_1411","","","e","0","","2.4568","2.7323","-0.2755","2.5946","0.1431","-0.0991","0.2422","0.022","0","","0.0142","0.1118","0.1196","0","","","70.4367","0.0183","","","31","29","33","29","0","","45.94","38.52","43.02","37.5","55.71","0","","","13","13","13","13","13","36","47","31","5","43","4","42","39","39","3","35","4","76","73","79","77","133","132","288","282","77.8333","7.3966","0.0281","0.0098","1.35008806377299","1.46971703555548","1"
"130","2014_Oct_24_0944","","","e","0","","3.0687","1.78","1.2887","2.4244","0.7605","0.1776","0.583","0.469","0","","-0.0875","0.1183","0.1589","0","","","63.4753","8e-04","","","25","27","24","23","0","","58.44","34.81","35.08","50","42.86","0","","","130","130","130","130","130","41","46","32","9","46","0","42","35","32","10","30","5","67","62","74","62","147","144","288","268","74.3333","10.858","0.0138","0.013","1.42876714270968","1.5877015821129","0"
"131","2014_Oct_24_1041","","","w","0","","2.5733","3.4274","-0.8541","3.0004","0.425","0.2242","0.2008","0.3246","0","","0.0122","-0.0383","-0.0364","0","","","-41.5721","-0.0019","","","34","24","36","29","0","","47.5","66.3","57.3","46.88","50","0","","","131","131","131","131","131","36","46","29","7","44","2","44","38","41","3","37","1","79","77","76","75","133","131","288","283","17.6667","59.2387","0.058","0.0599","1.25567039489693","1.21930372250491","1"
"132","2014_Oct_24_1041","","","w","0","","2.2191","2.1404","0.0787","2.1797","0.435","0.5042","-0.0692","0.4696","0","","-0.0155","0.0884","0.0882","0","","","14.2593","-0.0409","","","23","20","35","35","0","","72.5","53.33","52.54","35.94","44.29","0","","","132","132","132","132","132","28","49","21","7","46","3","35","52","25","10","49","3","79","78","71","69","138","137","288","284","66.1667","51.9074","0.0189","0.0598","1.22453271824391","1.31272578239374","0"
"133","2014_Oct_27_1402","","","w","0","","1.9464","1.6593","0.287","1.8028","0.4247","0.3053","0.1194","0.365","0","","0.0429","0.1205","0.1235","0","","","33.6034","0.0287","","","36","32","32","33","0","","69.38","58.89","57.3","42.19","60","0","","","133","133","133","133","133","48","37","34","14","34","3","40","39","28","12","34","5","70","67","84","84","134","134","288","285","44.3333","10.7299","0.042","0.0133","1.24063074872606","1.36412328748567","0"
"134","2014_Oct_27_1402","","","w","0","","1.408","1.0584","0.3496","1.2332","0.0811","0.2262","-0.1452","0.1536","0","","0.034","0.0722","0.0817","0","","","51.8086","-0.0025","","","36","30","26","23","0","","63.12","38.52","60.48","50","51.43","0","","","134","134","134","134","134","45","37","33","12","29","8","42","40","26","16","31","9","81","76","72","70","135","131","288","277","102.8333","51.0247","0.072","0.0745","1.45321769714337","1.53490905698908","1"
"135","2014_Oct_27_1403","","","w","0","","2.8594","1.9534","0.906","2.4064","0.4467","0.3189","0.1278","0.3828","0","","-0.9565","0.0039","NaN","1","","","76.3507","0.0503","","","23","26","25","21","0","","56.88","51.48","54.13","40.62","41.43","0","","","135","135","135","135","135","43","33","36","7","32","1","47","41","35","12","37","4","69","66","76","0","143","143","288","209","96.1667","19.816","0.0723","0.022","NaN","1.24503253806742","1"
